gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,7168,3072,ck,8,0,11.6278,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.79,1895.24,0.0
gfx950,256,2,7168,3072,ck,8,0,11.567,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.61,1906.71,0.0
gfx950,256,4,7168,3072,ck,8,0,11.6333,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,15.14,1898.84,0.0
gfx950,256,8,7168,3072,ck,8,0,11.6446,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,30.26,1902.97,0.0
gfx950,256,16,7168,3072,ck,8,0,11.6877,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,60.29,1907.87,0.0
gfx950,256,24,7168,3072,ck,8,0,11.8445,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,89.24,1894.37,0.0
gfx950,256,32,7168,3072,ck,8,0,11.8736,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,118.69,1901.46,0.0
gfx950,256,48,7168,3072,ck,18,0,12.9521,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,163.21,1764.63,0.0
gfx950,256,64,7168,3072,ck,18,0,12.594,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,223.8,1836.92,0.0
gfx950,256,80,7168,3072,ck,18,0,13.6314,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,258.46,1717.56,0.0
gfx950,256,96,7168,3072,ck,18,0,13.6964,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,308.68,1729.74,0.0
gfx950,256,112,7168,3072,ck,18,0,13.8032,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,357.34,1736.54,0.0
gfx950,256,128,7168,3072,ck,18,0,12.7498,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,442.14,1901.86,0.0
gfx950,256,144,7168,3072,ck,18,0,17.8715,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,354.85,1372.4,0.0
gfx950,256,160,7168,3072,ck,18,0,17.814,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,395.56,1392.47,0.0
gfx950,256,176,7168,3072,ck,18,0,18.132,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,427.48,1383.41,0.0
gfx950,256,192,7168,3072,ck,18,0,17.248,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,490.24,1470.46,0.0
gfx950,256,208,7168,3072,ck,18,0,18.505,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,495.02,1385.62,0.0
gfx950,256,224,7168,3072,ck,18,0,18.65,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,528.95,1389.78,0.0
gfx950,256,240,7168,3072,ck,18,0,19.3567,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,546.05,1353.43,0.0
gfx950,256,256,7168,3072,ck,18,0,18.0571,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,624.37,1466.27,0.0
gfx950,256,288,7168,3072,ck,12,0,21.926,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,578.47,1232.95,0.0
gfx950,256,320,7168,3072,ck,18,0,23.7369,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,593.71,1162.35,0.0
gfx950,256,352,7168,3072,ck,0,0,26.4199,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,586.76,1065.4,0.0
gfx950,256,384,7168,3072,ck,0,0,25.9687,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,651.22,1105.36,0.0
gfx950,256,416,7168,3072,ck,0,0,26.3941,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,694.12,1108.65,0.0
gfx950,256,448,7168,3072,ck,0,0,26.6555,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,740.19,1118.68,0.0
gfx950,256,480,7168,3072,ck,0,0,27.064,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,781.09,1122.37,0.0
gfx950,256,512,7168,3072,ck,0,0,26.5214,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,850.2,1166.34,0.0
gfx950,256,544,7168,3072,ck,15,0,34.4784,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1,694.87,913.33,0.0
gfx950,256,576,7168,3072,ck,18,0,32.6581,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,776.75,981.29,0.0
gfx950,256,608,7168,3072,ck,0,0,37.7239,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,709.8,864.28,0.0
