gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,4096,6144,ck,7,0,17.6474,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.85,1426.85,0.0
gfx950,256,2,4096,6144,ck,7,0,17.6387,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.71,1428.36,0.0
gfx950,256,4,4096,6144,ck,7,0,17.6128,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.43,1432.09,0.0
gfx950,256,8,4096,6144,ck,7,0,17.5415,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,22.95,1441.18,0.0
gfx950,256,16,4096,6144,ck,7,0,15.6935,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,51.31,1618.2,0.0
gfx950,256,24,4096,6144,ck,7,0,17.6469,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,68.45,1445.57,0.0
gfx950,256,32,4096,6144,ck,7,0,15.685,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,102.68,1633.7,0.0
gfx950,256,40,4096,6144,ck,7,0,17.3899,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,115.77,1480.13,0.0
gfx950,256,48,4096,6144,ck,7,0,15.635,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,154.52,1653.59,0.0
gfx950,256,56,4096,6144,ck,7,0,17.2694,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,163.21,1503.74,0.0
gfx950,256,64,4096,6144,ck,7,0,15.5743,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,206.83,1674.77,0.0
gfx950,256,80,4096,6144,ck,7,0,18.0514,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,223.06,1457.65,0.0
