gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,128,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,19522,8,6.3659,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0206,31.63,499.3
gfx950,256,128,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8720,8,7.2167,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0277,55.79,662.92
gfx950,256,128,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,18.3012,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0101,225.52,1884.48
gfx950,256,128,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.2742,native,0.0,6.08,238.61
gfx950,256,128,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3781,1,9.5228,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,225.51,1926.96
gfx950,256,128,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5313,1,16.7209,flydsl_gemm3_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp4_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,288.97,2398.68
gfx950,256,128,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4696,1,20.1542,flydsl_gemm5_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0049,319.66,2627.4
gfx950,256,128,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5384,1,30.6654,flydsl_gemm3_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0057,315.13,2564.56
gfx950,256,16384,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4028,1,55.4299,flydsl_gemm3_abf16_wbf16_bf16_t64x128x128_split_k1_block_m_warp2_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,464.91,3736.14
gfx950,256,16384,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5883,1,75.3376,flydsl_gemm4_abf16_wbf16_bf16_t128x128x64_split_k1_block_m_warp4_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,684.12,2825.43
gfx950,256,16384,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,406.341,native,0.0,1300.09,786.42
gfx950,256,16384,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,43.456,native,0.0,148.25,4666.06
gfx950,256,16384,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,212.3527,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1294.44,1027.08
gfx950,256,16384,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,426.5721,native,0.0,1449.87,796.44
gfx950,256,16384,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,802.3853,native,0.0,1541.59,595.91
gfx950,256,16,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5888,12,4.7249,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k12_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0342,5.33,375.37
gfx950,256,16,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6603,12,5.3141,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k12_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0256,9.47,630.5
gfx950,256,16,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2663,6,9.1755,flydsl_gemm6_abf16_wbf16_bf16_t16x64x64_split_k6_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0182,56.23,3544.69
gfx950,256,16,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,7.4959,native,0.0,0.84,78.82
gfx950,256,16,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1408,2,7.0314,flydsl_gemm3_abf16_wbf16_bf16_t16x64x256_split_k2_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0092,38.18,2414.0
gfx950,256,16,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5938,2,10.1472,flydsl_gemm6_abf16_wbf16_bf16_t16x64x64_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0041,59.52,3749.18
gfx950,256,16,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1409,2,12.2944,flydsl_gemm3_abf16_wbf16_bf16_t16x64x256_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.005,65.5,4120.52
gfx950,256,16,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5993,2,16.7296,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0054,72.2,4536.31
gfx950,256,1,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.5904,sol2,0.0,0.44,441.57
gfx950,256,1,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.397,sol2,0.0,0.72,718.34
gfx950,256,1,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,878,6,8.3361,flydsl_gemm3_abf16_wbf16_bf16_t16x64x128_split_k6_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0179,3.87,3870.06
gfx950,256,1,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.4721,sol2,0.0,0.11,116.81
gfx950,256,1,38720,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3,1,88.195,flydsl_gemm2_abf16_wbf16_bf16_t16x64x128_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,5.39,5395.78
