gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,2048,32,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,19.9527,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w2_bnt0_gui_kw2_fp8,0.0%,14.3438,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_reduce_bnt2_persist,0.0%,34.2965,0,0,0,15.41,35221.61,
gfx950,256,2,6144,2048,32,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,27.7867,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_bnt0_gui_fp8,0.0%,19.4746,flydsl_moe2_afp8_wfp4_bf16_t16x128x256_reduce_persist_sbm32,0.0%,47.2613,0,0,0,22.36,25559.95,
gfx950,256,4,6144,2048,32,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,41.9556,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_kw2_fp8,0.0%,28.2155,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_reduce,0.0%,70.1711,0,0,0,30.13,17215.54,
gfx950,256,8,6144,2048,32,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,62.6183,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w2_gui_fp8,0.0%,38.7021,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_reduce_persist,0.0%,101.3204,0,0,0,41.73,11923.63,
gfx950,256,16,6144,2048,32,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,68.5328,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w2_gui_fp8,0.0%,43.4041,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_reduce_bnt2_persist,0.0%,111.9369,0,0,0,75.54,10794.07,
gfx950,256,32,6144,2048,32,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,69.0203,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w2_gui_fp8,0.0%,43.1285,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_reduce,0.0%,112.1488,0,0,0,150.79,10776.3,
gfx950,256,64,6144,2048,32,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,69.1444,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w2_gui_fp8,0.0%,45.0025,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_reduce_bnt2_persist,0.0%,114.1469,0,0,0,296.31,10592.83,
gfx950,256,128,6144,2048,32,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,73.857,flydsl_moe1_afp8_wfp4_bf16_t64x128x256_w3_gui_fp8,0.0%,47.1955,flydsl_moe2_afp8_wfp4_bf16_t64x128x256_reduce_bnt2,0.0%,121.0525,0,0,0,558.81,9998.3,
gfx950,256,256,6144,2048,32,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,88.4882,flydsl_moe1_afp8_wfp4_bf16_t64x128x256_w3_gui_fp8,0.0%,57.327,flydsl_moe2_afp8_wfp4_bf16_t64x128x256_atomic_bnt2,0.0%,145.8152,0,0,0,927.83,8316.54,
gfx950,256,512,6144,2048,32,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,123.7406,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_bnt0_gui_fp8,0.0%,79.8547,flydsl_moe2_afp8_wfp4_bf16_t64x256x256_reduce_sbm128,0.0%,203.5953,0,0,0,1329.02,5979.49,
