gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,2048,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,20.2773,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w2_gui_kw2_fp8,0.0%,15.1704,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_reduce_bnt2_persist,0.0%,35.4477,0,0,0,17.04,272618.39,
gfx950,256,2,6144,2048,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,32.4277,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,22.8369,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_reduce_persist,0.0%,55.2646,0,0,0,21.86,174862.63,
gfx950,256,4,6144,2048,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,63.0809,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_fp8,0.0%,39.9326,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_reduce,0.0%,103.0135,0,0,0,23.45,93810.52,
gfx950,256,8,6144,2048,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,113.9188,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,67.5177,cktile_a8w4_bm32,0.0%,181.4365,0,0,0,26.63,53262.84,
gfx950,256,16,6144,2048,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,206.8581,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,115.4475,cktile_a8w4_bm32,0.0%,322.3056,0,0,0,29.98,29983.88,
gfx950,256,32,6144,2048,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,316.0876,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w2_gui_fp8,0.0%,174.3506,cktile_a8w4_bm32,0.0%,490.4382,0,0,0,39.41,19705.37,
gfx950,256,64,6144,2048,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,428.585,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_kw2_fp8,0.0%,234.4345,cktile_a8w4_bm32,0.0%,663.0195,0,0,0,58.3,14577.03,
gfx950,256,128,6144,2048,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,504.6385,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_kw2,0.0%,268.984,cktile_a8w4_bm32,0.0%,773.6225,0,0,0,99.93,12494.51,
gfx950,256,256,6144,2048,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,520.3996,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w2_gui_fp8,0.0%,288.2398,cktile_a8w4_bm32,0.0%,808.6394,0,0,0,191.21,11956.37,
gfx950,256,512,6144,2048,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,529.9224,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,307.2021,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_atomic_bnt2_persist,0.0%,837.1245,0,0,0,369.4,11555.17,
