gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,9.8467,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_xcd4_kw4_fp4,0.4%,7.8893,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.9%,17.736,0,0,0,4.79,68374.86,
gfx950,256,2,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,10.4083,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_bnt0_kw4_fp4,0.4%,9.8829,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,1.2%,20.2912,0,0,0,8.37,59765.56,
gfx950,256,4,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,20.068,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_bnt0_kw2,0.0%,12.0463,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.9%,32.1143,0,0,0,10.58,37763.61,
gfx950,256,8,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,24.4866,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_xcd4_kw2_fp4,0.5%,16.8836,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_reduce,0.0%,41.3702,0,0,0,16.42,29316.41,
gfx950,256,16,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,35.2546,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2,0.0%,22.653,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce_bnt2,0.0%,57.9076,0,0,0,23.47,20946.7,
gfx950,256,32,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,50.7163,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_kw2,0.0%,32.3471,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_persist_sbm32,0.8%,83.0634,0,0,0,32.72,14606.53,
gfx950,256,64,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,66.0825,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,40.5589,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_persist_sbm32,0.8%,106.6414,0,0,0,50.97,11382.61,
gfx950,256,128,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,67.2357,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_kw2_fp4,0.8%,44.0283,flydsl_moe2_afp4_wfp4_bf16_t16x256x128_atomic_bnt2_persist_sbm32,0.8%,111.264,0,0,0,97.71,10920.31,
gfx950,256,256,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,76.8171,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw2,0.0%,47.489,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_persist_sbm32,0.8%,124.3061,0,0,0,174.92,9793.54,
gfx950,256,512,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,80.56259999999999,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw2,0.0%,58.7575,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_atomic,0.8%,139.3201,0,0,0,312.13,8772.0,
